"Data","NomeMunicipio","CodigoMunicipio","Casos_Circ","Casos_Resp","Obitos_Circ","Obitos_Resp","Ano","CO","PM2p5","Temperatura","UmidRel"
2022-08-16,"Rio de Janeiro",330455,64,42,7,6,2022,183.654577767811,29.2346129526777,24.1331115722656,56.3802815180756
2022-08-17,"Rio de Janeiro",330455,57,48,10,8,2022,357.119859017985,44.0347029950772,21.9945007324219,82.9039938453676
2022-08-18,"Rio de Janeiro",330455,48,45,7,10,2022,242.289871721368,40.2394313425702,24.450341796875,64.3473744204735
2022-08-19,"Rio de Janeiro",330455,61,34,7,9,2022,132.963080545778,19.7924787670445,18.957666015625,81.8084635634665
2022-08-20,"Rio de Janeiro",330455,36,36,4,8,2022,71.5470349632596,10.9402362724609,17.8104797363281,68.5750687445709
2022-08-21,"Rio de Janeiro",330455,40,27,8,2,2022,71.2469088171019,5.56083978864308,18.2119689941406,67.1709424894685
2022-08-22,"Rio de Janeiro",330455,58,40,7,10,2022,77.8171340698464,6.35255137382273,18.7664123535156,70.3137316020242
2022-08-23,"Rio de Janeiro",330455,61,30,6,3,2022,87.3000658430101,10.417419815667,19.69130859375,76.8294821433123
2022-08-24,"Rio de Janeiro",330455,67,36,6,9,2022,95.5434131810762,8.46376657648307,20.1552062988281,83.495229457675
2022-08-25,"Rio de Janeiro",330455,61,40,13,10,2022,127.396731386398,20.9790518290731,21.4170166015625,78.2834971342122
2022-08-26,"Rio de Janeiro",330455,68,40,11,4,2022,132.476941416826,21.8964135711985,22.3819519042969,76.8546053287259
2022-08-27,"Rio de Janeiro",330455,39,26,8,5,2022,240.787016991817,31.5203969591948,23.0741516113281,73.5111002087006
2022-08-28,"Rio de Janeiro",330455,26,20,2,2,2022,339.769087531749,24.9403804275516,23.5010314941406,69.4776310928573
2022-08-29,"Rio de Janeiro",330455,57,26,7,7,2022,98.112622026747,20.6817727388398,18.8191467285156,78.5315674481432
2022-08-30,"Rio de Janeiro",330455,61,34,8,10,2022,79.1743701711312,11.2089644233038,17.8181091308594,69.1514931175379
2022-08-31,"Rio de Janeiro",330455,56,39,13,7,2022,74.6237844850839,1.13734621720596,17.9647766113281,65.0824566921962
2022-09-01,"Rio de Janeiro",330455,71,65,17,22,2022,161.406752852145,6.57405951898227,19.2363525390625,66.3207076602805
2022-09-02,"Rio de Janeiro",330455,76,39,12,10,2022,257.671928238778,24.4417606154457,21.3643737792969,60.5903384960039
2022-09-03,"Rio de Janeiro",330455,33,32,8,7,2022,422.103084929404,46.3867380062766,20.518212890625,76.9398105547914
2022-09-04,"Rio de Janeiro",330455,34,31,9,9,2022,104.586973748155,24.1167441572543,18.2782836914063,78.7458106447024
2022-09-05,"Rio de Janeiro",330455,55,28,7,6,2022,92.8326215898778,19.4123170871308,19.48134765625,71.2181187521459
2022-09-06,"Rio de Janeiro",330455,57,36,7,10,2022,93.4091417548188,6.43314024273423,20.3940368652344,66.1561032370553
2022-09-07,"Rio de Janeiro",330455,41,33,3,5,2022,89.1151188397998,9.27142274065318,20.4370666503906,67.5773890413431
2022-09-08,"Rio de Janeiro",330455,69,38,10,10,2022,277.745371590754,47.9314437029643,23.1895080566406,63.2782751707384
2022-09-09,"Rio de Janeiro",330455,50,46,9,7,2022,617.904163391358,80.6799675956427,25.3729797363281,56.6313046547466
2022-09-10,"Rio de Janeiro",330455,48,36,11,9,2022,768.528394701207,101.843298239146,24.1277709960938,65.7587808566622
2022-09-11,"Rio de Janeiro",330455,35,27,9,3,2022,231.384149174119,17.7283574487319,19.3073974609375,79.0613960859904
2022-09-12,"Rio de Janeiro",330455,72,33,10,14,2022,170.044017977489,17.2861973624094,19.5516906738281,79.4134877844836
2022-09-13,"Rio de Janeiro",330455,88,44,14,8,2022,210.511586828943,40.2194437754133,22.0131469726563,79.2560405413326
2022-09-14,"Rio de Janeiro",330455,80,40,12,8,2022,267.506891304947,28.371260896165,20.9007507324219,91.882700410601
2022-09-15,"Rio de Janeiro",330455,56,32,7,4,2022,215.568036310287,20.5582004753069,20.0085998535156,87.7574016202706
2022-09-16,"Rio de Janeiro",330455,41,27,6,6,2022,143.843593036763,19.4175360235249,18.659814453125,86.467665354351
2022-09-17,"Rio de Janeiro",330455,35,13,5,1,2022,76.9112631360258,11.6377165682024,18.6545654296875,73.1228605785088
2022-09-18,"Rio de Janeiro",330455,32,26,5,7,2022,76.852472830069,1.1221725770838,18.7332092285156,71.6685843225623
2022-09-19,"Rio de Janeiro",330455,76,42,14,7,2022,103.946504736996,9.32448074308923,19.7010437011719,70.7602032544249
2022-09-20,"Rio de Janeiro",330455,69,38,9,7,2022,167.42183106544,9.44003808456273,21.3534790039063,75.1730773356239
2022-09-21,"Rio de Janeiro",330455,57,47,10,6,2022,188.632299114033,19.1465332477492,21.2999206542969,83.4889712319092
2022-09-22,"Rio de Janeiro",330455,59,25,11,5,2022,266.886900135432,30.9527514730235,21.3619323730469,86.3677984138483
2022-09-23,"Rio de Janeiro",330455,65,36,11,8,2022,289.918801854583,16.8776796982684,20.2866760253906,72.9975466405424
2022-09-24,"Rio de Janeiro",330455,40,22,10,4,2022,102.841127613829,5.93111515456712,19.5352111816406,63.3500181055751
2022-09-25,"Rio de Janeiro",330455,36,30,5,5,2022,106.599120641704,8.16189782426591,20.2866149902344,72.2551408779973
2022-09-26,"Rio de Janeiro",330455,62,31,12,3,2022,128.725439196842,14.4680418756593,20.7527099609375,82.9277328430177
2022-09-27,"Rio de Janeiro",330455,65,51,7,8,2022,243.546793399219,33.3191074730621,22.1747985839844,84.0540415906532
2022-09-28,"Rio de Janeiro",330455,73,41,11,5,2022,241.671386902453,24.3115385600845,20.6173034667969,91.8162182385333
2022-09-29,"Rio de Janeiro",330455,67,43,13,12,2022,109.845757378935,12.9622446110034,19.7282043457031,86.1225504954877
2022-09-30,"Rio de Janeiro",330455,58,29,7,3,2022,77.3673107801187,14.9008947403217,19.8555541992188,77.9609420247598
2022-10-01,"Rio de Janeiro",330455,46,40,12,12,2022,106.343776451467,21.0913082554498,20.9561706542969,81.6312759988867
2022-10-02,"Rio de Janeiro",330455,23,29,5,5,2022,167.134572848227,27.296110260977,21.1715026855469,86.0653737207544
2022-10-03,"Rio de Janeiro",330455,62,32,16,7,2022,148.12223980698,24.4662814452568,20.6306701660156,86.4808559703988
